[I 2025-04-30 13:27:05,157] Trial 59 finished with value: 0.8904545454545454 and parameters: {'n_estimators': 586, 'max_depth': 36, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:27:21,129] Trial 60 finished with value: 0.8906818181818181 and parameters: {'n_estimators': 709, 'max_depth': 39, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:27:36,606] Trial 61 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 708, 'max_depth': 38, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:27:51,724] Trial 62 finished with value: 0.8901136363636365 and parameters: {'n_estimators': 614, 'max_depth': 40, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:28:05,759] Trial 63 finished with value: 0.8892045454545453 and parameters: {'n_estimators': 655, 'max_depth': 36, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:28:21,099] Trial 64 finished with value: 0.8910227272727272 and parameters: {'n_estimators': 683, 'max_depth': 39, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:28:36,305] Trial 65 finished with value: 0.8885227272727272 and parameters: {'n_estimators': 692, 'max_depth': 39, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:28:52,714] Trial 66 finished with value: 0.8907954545454544 and parameters: {'n_estimators': 736, 'max_depth': 29, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:29:11,639] Trial 67 finished with value: 0.8896590909090909 and parameters: {'n_estimators': 869, 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:29:34,686] Trial 68 finished with value: 0.8899999999999999 and parameters: {'n_estimators': 783, 'max_depth': 28, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
